,Rec,Yds,Avg,YPG,Long,TD,20+,Tar,YAC,SId,TId,PId,Player
1,0,0,0.00,0.0,0,0,--,0,0,S4,T24,P2408,/players/beau-allen-allenbe01
2,0,0,0.00,0.0,0,0,--,0,0,S3,T30,P2408,/players/beau-allen-allenbe01
3,0,0,0.00,0.0,0,0,0,0,0,S2,T30,P2408,/players/beau-allen-allenbe01
0,0,0,0.00,0.0,0,0,--,0,0,S3,T6,P2410,/players/john-franklin-frankjo07
1,0,0,0.00,0.0,0,0,0,0,0,S2,T6,P2410,/players/john-franklin-frankjo07
0,0,0,0.00,0.0,0,0,--,0,0,S4,T1,P2412,/players/tj-logan-logantj01
1,7,37,5.29,3.7,17,0,--,7,39,S3,T1,P2412,/players/tj-logan-logantj01
2,0,0,0.00,0.0,0,0,0,0,0,S2,T1,P2412,/players/tj-logan-logantj01
0,0,0,0.00,0.0,0,0,--,0,0,S3,T29,P2413,/players/codey-mcelroy-mcelrco01
1,0,0,0.00,0.0,0,0,0,0,0,S2,T9,P2413,/players/codey-mcelroy-mcelrco01
0,0,0,0.00,0.0,0,0,0,0,0,S2,T30,P2414,/players/spencer-schnell-schnesp01
0,1,18,18.00,6.0,18t,1,--,1,0,S4,T30,P2417,/players/jesus-wilson-wilsoje04
